Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (lin64) Build 2552052 Fri May 24 14:47:09 MDT 2019
| Date         : Mon Sep 25 15:38:35 2023
| Host         : scope running 64-bit Ubuntu 16.04.7 LTS
| Command      : report_datasheet -show_all_corners -name timing_4 -file /home/scope/Desktop/hdmi/InAS_without_hdmi/vivado_proj/timing_report.txt
| Design       : design_1_wrapper
| Device       : 7z020-clg400
| Speed File   : -1  PRODUCTION 1.11 2014-09-11
--------------------------------------------------------------------------------------------------------------------------------------------------

Data Sheet Report

Input Ports Setup/Hold

-----------+--------------+-----------+-------+---------------+---------+---------------+---------+----------+
Reference  | Input        | IO Reg    | Delay |     Setup(ns) | Process |      Hold(ns) | Process | Internal |
Clock      | Port         | Type      | Type  | to Clk (Edge) | Corner  | to Clk (Edge) | Corner  | Clock    |
-----------+--------------+-----------+-------+---------------+---------+---------------+---------+----------+
clk_fpga_0 | IIC_1_scl_io | FDRE      | -     |     0.822 (r) | SLOW    |    -0.253 (r) | SLOW    |          |
clk_fpga_0 | IIC_1_scl_io | FDRE      | -     |     0.270 (r) | FAST    |     0.199 (r) | FAST    |          |
clk_fpga_0 | IIC_1_sda_io | FDRE      | -     |     0.817 (r) | SLOW    |    -0.247 (r) | SLOW    |          |
clk_fpga_0 | IIC_1_sda_io | FDRE      | -     |     0.264 (r) | FAST    |     0.204 (r) | FAST    |          |
clk_fpga_0 | IIC_2_scl_io | FDRE      | -     |     0.830 (r) | SLOW    |    -0.260 (r) | SLOW    |          |
clk_fpga_0 | IIC_2_scl_io | FDRE      | -     |     0.277 (r) | FAST    |     0.191 (r) | FAST    |          |
clk_fpga_0 | IIC_2_sda_io | FDRE      | -     |     0.830 (r) | SLOW    |    -0.260 (r) | SLOW    |          |
clk_fpga_0 | IIC_2_sda_io | FDRE      | -     |     0.277 (r) | FAST    |     0.191 (r) | FAST    |          |
clk_fpga_0 | RS_485_1_rxd | FDRE      | -     |     0.909 (r) | SLOW    |    -0.339 (r) | SLOW    |          |
clk_fpga_0 | RS_485_1_rxd | FDRE      | -     |     0.357 (r) | FAST    |     0.112 (r) | FAST    |          |
clk_fpga_0 | RS_485_2_rxd | FDRE      | -     |     0.848 (r) | SLOW    |    -0.278 (r) | SLOW    |          |
clk_fpga_0 | RS_485_2_rxd | FDRE      | -     |     0.295 (r) | FAST    |     0.173 (r) | FAST    |          |
clk_fpga_0 | SPI_1_io0_io | FDRE (IO) | -     |     0.727 (r) | SLOW    |    -0.323 (r) | SLOW    |          |
clk_fpga_0 | SPI_1_io0_io | FDRE (IO) | -     |     0.130 (r) | FAST    |     0.185 (r) | FAST    |          |
clk_fpga_0 | SPI_1_io1_io | FDRE (IO) | -     |     0.677 (r) | SLOW    |    -0.273 (r) | SLOW    |          |
clk_fpga_0 | SPI_1_io1_io | FDRE (IO) | -     |     0.080 (r) | FAST    |     0.234 (r) | FAST    |          |
clk_fpga_0 | SPI_1_sck_io | FDRE      | -     |     0.789 (r) | SLOW    |    -0.222 (r) | SLOW    |          |
clk_fpga_0 | SPI_1_sck_io | FDRE      | -     |     0.202 (r) | FAST    |     0.256 (r) | FAST    |          |
clk_fpga_0 | SPI_2_io0_io | FDRE (IO) | -     |     0.697 (r) | SLOW    |    -0.294 (r) | SLOW    |          |
clk_fpga_0 | SPI_2_io0_io | FDRE (IO) | -     |     0.101 (r) | FAST    |     0.213 (r) | FAST    |          |
clk_fpga_0 | SPI_2_io1_io | FDRE (IO) | -     |     0.692 (r) | SLOW    |    -0.288 (r) | SLOW    |          |
clk_fpga_0 | SPI_2_io1_io | FDRE (IO) | -     |     0.095 (r) | FAST    |     0.219 (r) | FAST    |          |
clk_fpga_0 | SPI_2_sck_io | FDRE      | -     |     0.830 (r) | SLOW    |    -0.263 (r) | SLOW    |          |
clk_fpga_0 | SPI_2_sck_io | FDRE      | -     |     0.243 (r) | FAST    |     0.215 (r) | FAST    |          |
